,Serial Number,SMILES,Number of Unique Zeolites,List of Zeolites
592,593,C[C@H]1CCCC[N@+]12CCC[C@@H]2C,113,"['AEI', 'AEL', 'AFI', 'AFN', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'ATS', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ESV', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LAU', 'LEV', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRE', 'MSE', 'MTF', 'MTW', 'MWW', 'NON', 'OFF', 'POS', 'PUN', 'PWO', 'PWW', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SVV', 'SWY', 'SZR', 'TON', 'TUN', 'UFI', 'UOS', 'USI', 'UTL', 'VFI']"
593,594,C[C@H]1CCCC[N@+]12CCC[C@H]2C,108,"['AEI', 'AEL', 'AFI', 'AFN', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ESV', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'JST', 'KFI', 'LAU', 'LEV', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRE', 'MSE', 'MTF', 'MTW', 'MWW', 'NON', 'OFF', 'POS', 'PUN', 'PWO', 'PWW', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'SZR', 'TON', 'UFI', 'UOS', 'USI', 'UTL', 'VFI']"
594,595,C[C@H]1CCCC[N@@+]12CCC[C@@H]2C,114,"['AEI', 'AEL', 'AFI', 'AFN', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'ATS', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ESV', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LAU', 'LEV', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRE', 'MSE', 'MTF', 'MTW', 'MWW', 'NON', 'OFF', 'POS', 'PUN', 'PWN', 'PWO', 'PWW', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOS', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'SZR', 'TON', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
595,596,C[C@H]1CCCC[N@@+]12CCC[C@H]2C,109,"['AEI', 'AFI', 'AFN', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'ATS', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ESV', 'ETL', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LEV', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MTF', 'MTW', 'MWW', 'NON', 'OFF', 'POS', 'PUN', 'PWW', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'SZR', 'TON', 'UFI', 'UOS', 'USI', 'UTL', 'VFI']"
596,597,C[C@H]1CCCN1,183,"['AEI', 'AEL', 'AET', 'AFG', 'AFI', 'AFN', 'AFO', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'AHT', 'AST', 'ASV', 'ATN', 'ATO', 'ATS', 'ATT', 'AVE', 'AVL', 'AWO', 'AWW', 'BEA', 'BEC', 'BOF', 'BOZ', 'BPH', 'BRE', 'BSV', 'CAN', 'CDO', 'CFI', 'CGF', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'CZP', 'DAC', 'DDR', 'DFO', 'EAB', 'EDI', 'EEI', 'EMT', 'EON', 'EPI', 'ERI', 'ESV', 'ETL', 'ETR', 'ETV', 'EWS', 'EZT', 'FAR', 'FAU', 'FER', 'FRA', 'GIS', 'GIU', 'GON', 'HEU', 'IFO', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'ITW', 'IWR', 'IWS', 'IWW', 'JNT', 'JOZ', 'JRY', 'JSN', 'JSR', 'JST', 'JSW', 'KFI', 'LAU', 'LEV', 'LIO', 'LOS', 'LTF', 'LTL', 'MAR', 'MAZ', 'MEI', 'MER', 'MFI', 'MFS', 'MOZ', 'MRE', 'MRT', 'MSE', 'MSO', 'MTF', 'MTT', 'MTW', 'MWW', 'NON', 'NPO', 'NPT', 'OBW', 'OFF', 'OKO', 'OSI', 'OSO', 'OWE', 'PCR', 'PCS', 'PHI', 'PON', 'POR', 'POS', 'PTY', 'PUN', 'PWO', 'PWW', 'RRO', 'RTE', 'RTH', 'RUT', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFE', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SIV', 'SOD', 'SOF', 'SOR', 'SOS', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SVV', 'SWY', 'SZR', 'TER', 'THO', 'TOL', 'TON', 'TUN', 'UEI', 'UFI', 'UOE', 'UOS', 'UOZ', 'USI', 'UTL', 'VET', 'VFI', 'ZON']"
597,598,C[C@H]1CCC[C@@H](C)[N+]1(C)C,133,"['AEI', 'AEL', 'AET', 'AFI', 'AFN', 'AFR', 'AFS', 'AFT', 'AFV', 'AFY', 'AST', 'ATS', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ESV', 'ETL', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'JSW', 'KFI', 'LAU', 'LEV', 'LTA', 'LTF', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRT', 'MSE', 'MSO', 'MTF', 'MTW', 'MWW', 'NON', 'NPT', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'POS', 'PTY', 'PUN', 'PWN', 'PWO', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFE', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOS', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STT', 'STW', 'SWY', 'SZR', 'TER', 'TON', 'TSC', 'TUN', 'UFI', 'UOS', 'UOV', 'USI', 'UTL', 'VFI']"
598,599,C[C@H]1CCC[C@@H](C)[N+]12CCCC2,128,"['AEI', 'AET', 'AFG', 'AFI', 'AFN', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'ATS', 'AVE', 'AVL', 'AWW', 'BEC', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ESV', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IFY', 'IHW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'JSW', 'KFI', 'LEV', 'LIO', 'LTA', 'LTF', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MSO', 'MTF', 'MTW', 'MWW', 'NON', 'NPT', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'POS', 'PTY', 'PUN', 'PWO', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFE', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STI', 'STO', 'STT', 'STW', 'SVV', 'SWY', 'SZR', 'TER', 'TOL', 'TON', 'TUN', 'UFI', 'UOS', 'UOV', 'USI', 'VFI']"
599,600,C[C@H]1CCC[C@@H](C)[N+]12CCCCC2,100,"['AEI', 'AFI', 'AFN', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'NON', 'OFF', 'POS', 'PUN', 'PWN', 'PWW', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'TON', 'UFI', 'UOS', 'USI', 'UTL', 'VFI']"
600,601,C[C@H]1CCC[C@@H](C)[N+]12CCC[C@@H]2C,99,"['AEI', 'AFI', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ESV', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LEV', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'NON', 'OFF', 'POS', 'PWO', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'SWY', 'SZR', 'UFI', 'UOS', 'UOV', 'USI', 'UTL', 'VFI']"
601,602,C[C@H]1CCC[C@@H](C)[N+]12CCC[C@H]2C,99,"['AEI', 'AFI', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MTF', 'MTW', 'MWW', 'NON', 'OFF', 'POS', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'SWY', 'SZR', 'TON', 'TUN', 'UFI', 'UOS', 'USI', 'UTL', 'VFI']"
602,603,C[C@H]1CCC[C@@H](C)[N+]12Cc1ccccc1C2,90,"['AEI', 'AFI', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'OFF', 'POS', 'PWO', 'PWW', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'SZR', 'TON', 'TUN', 'UFI', 'USI', 'UTL', 'VFI']"
603,604,C[C@H]1CCC[C@@H](C)[N@+]12CCC[C@@H]2C,98,"['AEI', 'AFI', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'NON', 'OFF', 'POS', 'PWW', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'SWY', 'SZR', 'TON', 'UFI', 'UOS', 'UOV', 'USI', 'UTL', 'VFI']"
604,605,C[C@H]1CCC[C@@H](C)[N@@+]12CCC[C@@H]2C,99,"['AEI', 'AFI', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ESV', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MTF', 'MTW', 'MWW', 'NON', 'OFF', 'POS', 'PUN', 'PWO', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'SWY', 'SZR', 'TUN', 'UFI', 'UOV', 'USI', 'VFI']"
605,606,C[C@H]1CCC[C@@H](C)[N@@+]12CCC[C@H]2C,97,"['AEI', 'AFI', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MTF', 'MTW', 'MWW', 'NON', 'OFF', 'POS', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'SZR', 'TUN', 'UFI', 'UOS', 'USI', 'VFI']"
606,607,C[C@H]1CCC[C@@H](C)[NH2+]1,135,"['AEI', 'AEL', 'AFI', 'AFN', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AST', 'ASV', 'ATS', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'BSV', 'CDO', 'CFI', 'CGF', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ESV', 'ETL', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'FER', 'GME', 'GON', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'ITW', 'IWR', 'IWS', 'IWW', 'JST', 'JSW', 'KFI', 'LAU', 'LEV', 'LOS', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRE', 'MRT', 'MSE', 'MTF', 'MTT', 'MTW', 'MWW', 'NON', 'OFF', 'OWE', 'PHI', 'PON', 'POS', 'PUN', 'PWO', 'PWW', 'RHO', 'RTE', 'RTH', 'RUT', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFE', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SIV', 'SOF', 'SOR', 'SOS', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SVV', 'SWY', 'SZR', 'TON', 'UFI', 'UOE', 'UOS', 'UOZ', 'USI', 'UTL', 'VET', 'VFI']"
607,608,C[C@H]1CCC[C@@H]([N+]2(C)CCCC2)C1,105,"['AEI', 'AEL', 'AFI', 'AFN', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'ATS', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRE', 'MSE', 'MTF', 'MTW', 'MWW', 'OFF', 'POS', 'PUN', 'PWN', 'PWO', 'PWW', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'SZR', 'TON', 'TUN', 'UFI', 'USI', 'UTL', 'VFI']"
608,609,C[C@H]1CCC[C@H](C)[N+]1(C)C,136,"['AEI', 'AEL', 'AET', 'AFI', 'AFN', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'AST', 'ATS', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ESV', 'ETL', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'JSW', 'KFI', 'LAU', 'LEV', 'LIO', 'LTA', 'LTF', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MSO', 'MTF', 'MTW', 'MWW', 'NON', 'NPT', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'POS', 'PTY', 'PUN', 'PWN', 'PWO', 'PWW', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOS', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SVV', 'SWY', 'SZR', 'TER', 'TON', 'TSC', 'TUN', 'UFI', 'UOS', 'UOV', 'USI', 'UTL', 'VFI']"
609,610,C[C@H]1CCC[C@H](C)[N+]12CCCC2,129,"['AEI', 'AET', 'AFG', 'AFI', 'AFN', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'ATS', 'AVE', 'AVL', 'AWW', 'BEC', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ESV', 'ETR', 'EUO', 'EWS', 'EZT', 'FAR', 'FAU', 'GIU', 'GME', 'IFO', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'KFI', 'LAU', 'LEV', 'LTA', 'LTL', 'MAR', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRE', 'MSE', 'MSO', 'MTF', 'MTW', 'MWW', 'NON', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'POS', 'PUN', 'PWN', 'PWW', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'SZR', 'TER', 'TOL', 'TON', 'TUN', 'UFI', 'UOS', 'UOV', 'USI', 'UTL', 'VFI']"
610,611,C[C@H]1CCC[C@H](C)[N+]12CCCCC2,101,"['AEI', 'AFI', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'ATS', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ESV', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LEV', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'NON', 'POS', 'PUN', 'PWW', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'SZR', 'TON', 'TUN', 'UFI', 'UOS', 'USI', 'UTL', 'VFI']"
